INFO 2024-10-21 12:12:54,864 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-21 12:12:54,869 autoreload Waiting for apps ready_event.
DEBUG 2024-10-21 12:12:54,966 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-10-21 12:12:54,973 autoreload Watching dir C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-10-21 12:12:54,973 autoreload Watching dir C:\Users\Lenovo\Desktop\django rest framework\locale with glob **/*.mo.
DEBUG 2024-10-21 12:12:54,974 autoreload Watching dir C:\Users\Lenovo\Desktop\django rest framework\application\locale with glob **/*.mo.
DEBUG 2024-10-21 12:12:54,975 autoreload Watching dir C:\Users\Lenovo\Desktop\django rest framework\viewset\locale with glob **/*.mo.
DEBUG 2024-10-21 12:12:54,975 autoreload Watching dir C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-10-21 12:12:55,022 utils (0.000) 
                SELECT VERSION(),
                       @@sql_mode,
                       @@default_storage_engine,
                       @@sql_auto_is_null,
                       @@lower_case_table_names,
                       CONVERT_TZ('2001-01-01 01:00:00', 'UTC', 'UTC') IS NOT NULL
            ; args=None; alias=default
DEBUG 2024-10-21 12:12:55,024 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-10-21 12:12:55,025 utils (0.015) 
            SELECT
                table_name,
                table_type,
                table_comment
            FROM information_schema.tables
            WHERE table_schema = DATABASE()
            ; args=None; alias=default
DEBUG 2024-10-21 12:12:55,030 utils (0.000) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=(); alias=default
DEBUG 2024-10-21 12:12:55,230 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\quopri.py first seen with mtime 1722958352.0
DEBUG 2024-10-21 12:12:55,231 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\contrib\staticfiles\checks.py first seen with mtime 1729063315.0599399
DEBUG 2024-10-21 12:12:55,231 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\uuid.py first seen with mtime 1722958352.0
DEBUG 2024-10-21 12:12:55,232 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\ctypes\wintypes.py first seen with mtime 1722958350.0
DEBUG 2024-10-21 12:12:55,232 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\utils\dates.py first seen with mtime 1729063315.288329
DEBUG 2024-10-21 12:12:55,233 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\zoneinfo\__init__.py first seen with mtime 1722958352.0
DEBUG 2024-10-21 12:12:55,234 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\core\signing.py first seen with mtime 1729063315.069913
DEBUG 2024-10-21 12:12:55,235 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\graphlib.py first seen with mtime 1722958350.0
DEBUG 2024-10-21 12:12:55,235 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\utils\translation\trans_real.py first seen with mtime 1729063315.308276
DEBUG 2024-10-21 12:12:55,236 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\string.py first seen with mtime 1722958352.0
DEBUG 2024-10-21 12:12:55,237 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\DLLs\_lzma.pyd first seen with mtime 1722958396.0
DEBUG 2024-10-21 12:12:55,238 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\token.py first seen with mtime 1722958352.0
DEBUG 2024-10-21 12:12:55,238 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\http\__init__.py first seen with mtime 1729063315.2434492
DEBUG 2024-10-21 12:12:55,239 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\db\models\query_utils.py first seen with mtime 1729063315.1706436
DEBUG 2024-10-21 12:12:55,240 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1729063312.4829319
DEBUG 2024-10-21 12:12:55,241 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\collections\abc.py first seen with mtime 1722958350.0
DEBUG 2024-10-21 12:12:55,241 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\contrib\messages\middleware.py first seen with mtime 1729063314.4773817
DEBUG 2024-10-21 12:12:55,243 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\views\debug.py first seen with mtime 1729063315.3102698
DEBUG 2024-10-21 12:12:55,244 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\contrib\admin\checks.py first seen with mtime 1729063312.9913564
DEBUG 2024-10-21 12:12:55,246 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\template\library.py first seen with mtime 1729063315.2574112
